source_name,institutions_name
(ACER) Agency for the Cooperation of Energy Regulators,EU Agency for the Cooperation of Energy Regulators (ACER)
(SatCen) European Union Satellite Centre,EU Satellite Centre (SatCen)
European Committee of the Regions,European Committee of the Regions (CoR)
European Economic and Social Committee,European Economic and Social Committee (EESC)
European Commission,European Commission
European Parliament,European Parliament
Council of the European Union,Council of the European Union
(EUIPO) European Union Intellectual Property Office,EU Intellectual Property Office (EUIPO)
(EMA) European Medicines Agency,European Medicines Agency (EMA)
(EFSA) European Food Safety Authority,European Food Safety Authority (EFSA)
(FRA) European Union Agency for Fundamental Rights,EU Agency for Fundamental Rights (FRA)
(EUAA) European Union Agency for Asylum,EU Agency for Asylum (EUAA)
